CA,ผลการวิเคราะห์,ระดับความเสี่ยง,ความน่าจะเป็น,คำอธิบายพฤติกรรม,แนวทางดำเนินการ,num_valid_months,ลักษณะการใช้ไฟฟ้า,TRSG,MRU
20012783309,ละเมิด,สูง,0.976052544406209,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F09101,FCHC0243
20012783405,ละเมิด,สูง,0.9709742537316691,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F12201,FSKA0901
20012783445,ละเมิด,สูง,0.9738977490495563,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F08201,FPAY0124
20012783463,ละเมิด,สูง,0.9767719128765242,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F09101,FCHC0188
20012783520,ปกติ,ปานกลาง,0.541058682522295,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F03201,FKUM0007
20012783534,ละเมิด,สูง,0.9709742537316691,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F12201,FSKA0915
20012783550,ละเมิด,สูง,0.974134541750715,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F07101,FSSA0127
20012783566,ละเมิด,สูง,0.9790769356524608,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F09101,FCHC0203
20012783594,ละเมิด,สูง,0.9663078017352668,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F05401,FLHS0228
20012783660,ละเมิด,สูง,0.9754513847488818,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F10202,FMYA0250
20012783724,ละเมิด,สูง,0.9743726845587739,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F10101,FPIM0536
20012783738,ละเมิด,สูง,0.9663080833968654,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F02306,FNSN0341
20012783745,ละเมิด,สูง,0.9840903836851707,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F03602,FNPO0079
20012783792,ปกติ,ปานกลาง,0.9988404010958278,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F15101,FPTC0456
20012783793,ละเมิด,สูง,0.9730360841268424,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F12101,FPRS0108
20012783808,ละเมิด,สูง,0.9716766760902202,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F13202,FPHT0128
20012783818,ละเมิด,ปานกลาง,0.5845310184830809,พฤติกรรมมีแนวโน้มผิดปกติ,ส่งเจ้าหน้าที่ตรวจสอบ,3,ปัจจุบันยังใช้ไฟฟ้า,F08302,FBNL0005
20012783822,ละเมิด,สูง,0.9665584496184337,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F02202,FKSW0607
20012783847,ละเมิด,สูง,0.9736890726577104,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F07302,FTPR0409
20012783892,ละเมิด,สูง,0.9709742537316691,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F12202,FBCT0904
20012783895,ละเมิด,สูง,0.9779005004438334,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F01202,FKSS0080
20012783961,ละเมิด,สูง,0.9636548434448404,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F09601,FSSG0055
20012783978,มิเตอร์ชำรุด,ปานกลาง,0.5822533576627233,มิเตอร์อาจมีปัญหาในการแสดงผล,ตรวจสอบมิเตอร์,3,ปัจจุบันยังใช้ไฟฟ้า,F09501,FNBM0033
20012784007,ละเมิด,สูง,0.7863753747953944,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F12106,FPDR0031
20012784021,ละเมิด,สูง,0.9590340157015086,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F05108,FPKM0049
20012786714,ปกติ,ปานกลาง,0.9027096331215518,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F10202,FMYA0153
20012786733,ปกติ,ปานกลาง,0.9998955686709423,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F03101,FBRR0724
20012786780,ปกติ,ปานกลาง,0.9998870291860805,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F08302,FBNL0034
20012788114,ละเมิด,สูง,0.8138743245781984,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F04401,FTTM0165
20012789205,ปกติ,ปานกลาง,0.999896291644825,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F07303,FHBO0035
20012789546,ปกติ,ปานกลาง,0.9986927148803405,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F08101,FBYI0200
20012789569,ปกติ,ปานกลาง,0.9998848492338169,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F02401,FNBD0304
20012789795,ปกติ,ปานกลาง,0.999866649192288,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F12201,FSKA0002
20012789828,ปกติ,ปานกลาง,0.999298002159523,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F02401,FNBD0304
20012790590,ปกติ,ปานกลาง,0.9927345045844767,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F02401,FNBD0304
20012790900,ปกติ,ปานกลาง,0.9998840267101979,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F12102,FKBC0040
20012791999,ปกติ,ปานกลาง,0.9998273176838909,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F12201,FSKA0002
20012792026,ปกติ,ปานกลาง,0.9993243143021026,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F12102,FKBC0041
20012792256,ปกติ,ปานกลาง,0.9989345785469275,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F09101,FCHC0198
20012792392,ละเมิด,สูง,0.7136866797733221,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F08201,FPAY0002
20012792405,ปกติ,ปานกลาง,0.9998611753788823,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F09101,FCHC0198
20012792514,ละเมิด,สูง,0.9076097892412178,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F12202,FBCT0102
20012793383,ปกติ,ปานกลาง,0.9998118919078635,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F04401,FTTM0030
20012793998,ปกติ,ปานกลาง,0.9986404809022342,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F12101,FPRS0528
20012794677,ปกติ,ปานกลาง,0.999898863352365,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F07101,FSSA0206
20012796242,ปกติ,ปานกลาง,0.9998468935911753,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F07101,FSSA0206
20012796630,ปกติ,ปานกลาง,0.9997184689273214,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F09101,FCHC0203
20012797558,ปกติ,ปานกลาง,0.9943566913038786,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F08101,FBYI0205
20012797697,ปกติ,ปานกลาง,0.8885902677705327,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F12101,FPRS0002
20012797814,ปกติ,ปานกลาง,0.999868581353321,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F08302,FBNL0035
20012798785,ปกติ,ปานกลาง,0.6841030152151207,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F06101,FPCG0001
20012800073,ปกติ,ปานกลาง,0.9999003290508179,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F03101,FBRR0725
20012801337,ปกติ,ปานกลาง,0.999045305072012,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F04101,FSRN0192
20012802408,ปกติ,ปานกลาง,0.7391913906241651,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F03201,FKUM0210
20012802441,ปกติ,ปานกลาง,0.9998711034584027,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F02401,FNBD0001
20012802465,ปกติ,ปานกลาง,0.9994841448105742,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F06101,FPCG0243
20012802765,ละเมิด,สูง,0.8820654582513658,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F05101,FNAR0001
20012803627,ปกติ,ปานกลาง,0.9998488890896852,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F09601,FSSG0222
20012803761,ปกติ,ปานกลาง,0.9998729364035633,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F15201,FWNK0138
20012803848,ปกติ,ปานกลาง,0.9998925615952745,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F12101,FPRS0528
20012804377,ปกติ,ปานกลาง,0.9998617064491372,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F04601,FRAB0002
20012809217,ปกติ,ปานกลาง,0.9979677430777831,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F03501,FLAM0001
20012809415,ปกติ,ปานกลาง,0.6829012292497123,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F03101,FBRR0727
20012809582,ปกติ,ปานกลาง,0.9996237271532723,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F12102,FKBC0044
20012810659,ปกติ,ปานกลาง,0.9997084139415758,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F03101,FBRR0140
20012810731,ปกติ,ปานกลาง,0.9996838887780906,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F01201,FNOS0408
20012810789,ปกติ,ปานกลาง,0.9996187699232609,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F04301,FSIP0232
20012812243,ปกติ,ปานกลาง,0.9989730583320217,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F10101,FPIM0292
20012812636,ละเมิด,สูง,0.8604789750180503,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F04301,FSIP0232
20012813014,ปกติ,ปานกลาง,0.9998282248267901,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F03501,FLAM0300
20012813396,ปกติ,ปานกลาง,0.9998650348112034,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F01401,FHOH0669
20012813810,ปกติ,ปานกลาง,0.9994616078565941,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F12202,FBCT0161
20012814618,ปกติ,ปานกลาง,0.5888147744981869,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F06101,FPCG0245
20012814678,ละเมิด,สูง,0.8727345555311753,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F01201,FNOS0408
20012814759,ปกติ,ปานกลาง,0.6237464172827418,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F08101,FBYI0001
20012814844,ปกติ,ปานกลาง,0.6136090142574555,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F03101,FBRR0141
20012814955,ละเมิด,สูง,0.974468705028559,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F02501,FBNG0008
20012815237,ละเมิด,สูง,0.952421387681718,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F03601,FPUS0002
20012815711,ปกติ,ปานกลาง,0.9997801609188153,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F08302,FBNL0037
20012816733,ปกติ,ปานกลาง,0.99963864983305,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F13101,FNR20003
20012816809,ปกติ,ปานกลาง,0.9996752932163064,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F07101,FSSA0002
20012817685,ละเมิด,สูง,0.9599699685136645,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F12201,FSKA0011
20012817803,ปกติ,ปานกลาง,0.9998948471835358,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F03101,FBRR0727
20012819321,มิเตอร์ชำรุด,สูง,0.8120574478057843,มิเตอร์อาจมีปัญหาอย่างรุนแรง,ตรวจสอบมิเตอร์โดยด่วน,3,ปัจจุบันยังใช้ไฟฟ้า,F04101,FSRN0394
20012819487,ปกติ,ปานกลาง,0.9662304773772765,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F08301,FKOG0004
20012820169,ปกติ,ปานกลาง,0.9986764248475171,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F04101,FSRN0194
20012820267,ปกติ,ปานกลาง,0.9987259127171338,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F07101,FSSA0209
20012820453,ละเมิด,สูง,0.9854086162678748,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F07201,FSUN0002
20012820717,ปกติ,ปานกลาง,0.9972616814266293,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F03201,FKUM0003
20012821608,ปกติ,ปานกลาง,0.6109142666860038,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F01401,FHOH0670
20012821724,ปกติ,ปานกลาง,0.5287251917444461,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F02401,FNBD0311
20012821865,ปกติ,ปานกลาง,0.9942297895531215,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F12101,FPRS0530
20012823233,ปกติ,ปานกลาง,0.9997692165754403,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F07101,FSSA0002
20012823338,ปกติ,ปานกลาง,0.9312043951215099,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F09601,FSSG0223
20012823659,ปกติ,ปานกลาง,0.8608188096577599,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F10101,FPIM0004
20012824370,ปกติ,ปานกลาง,0.9996223804885848,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F07101,FSSA0209
20012824685,ปกติ,ปานกลาง,0.9994260380519723,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F04101,FSRN0195
20012824758,ปกติ,ปานกลาง,0.999802193032423,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F02401,FNBD0313
20012824951,ปกติ,ปานกลาง,0.9733254370839025,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F04101,FSRN0195
20012824981,ปกติ,ปานกลาง,0.9528709809536411,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F12202,FBCT0166
20012825634,ละเมิด,สูง,0.8049958240012546,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F04301,FSIP0002
20012825819,ปกติ,ปานกลาง,0.9952567258463659,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F07201,FSUN0002
20012826257,ปกติ,ปานกลาง,0.5820402752144348,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F03601,FPUS0003
20012826351,ปกติ,ปานกลาง,0.9998333439969819,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F12102,FKBC0049
20012826427,ละเมิด,สูง,0.9821041349540461,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F12102,FKBC0049
20012827682,ปกติ,ปานกลาง,0.9999123324239653,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F01701,FNOT0003
20012827936,ปกติ,ปานกลาง,0.9888099401044678,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F01703,FPTK0008
20012828172,ปกติ,ปานกลาง,0.999766591340271,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F01201,FNOS0410
20012828620,ละเมิด,สูง,0.872321022704177,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F15201,FWNK0144
